,SUBZONE_N,341,11,193,226,187,25,77,138,101,273,96,10,133,232,18,5,233,176,275,207,344,315,246,293,200,15,100,58,7,31,245,95,257,134,60
41,WOODLANDS EAST,22068.0,18431.0,15427.0,13754.0,21359.0,39450.0,17343.0,13640.0,26006.0,11550.0,10800.0,5115.0,23591.0,29544.0,13372.0,19263.0,28448.0,24874.0,36543.0,30815.0,13710.0,4465.0,33394.0,27136.0,3039.0,23458.0,23173.0,15204.0,17003.0,25328.0,39607.0,34094.0,25408.0,27287.0,15512.0
42,SZ4,30722.0,11801.0,7531.0,13092.0,8710.0,12495.0,26465.0,15114.0,18568.0,12956.0,21892.0,16566.0,24306.0,12944.0,29992.0,2987.0,12531.0,7371.0,15174.0,13225.0,27767.0,16147.0,17724.0,23287.0,21241.0,38159.0,14990.0,7622.0,6654.0,17976.0,13203.0,14131.0,46606.0,14045.0,8112.0
43,SZ5,30342.0,11421.0,8968.0,12712.0,8330.0,15772.0,26085.0,14289.0,18188.0,12576.0,21512.0,21207.0,23926.0,9272.0,29612.0,2607.0,8859.0,5284.0,12690.0,13554.0,27387.0,16638.0,17383.0,22907.0,23613.0,37779.0,14610.0,9060.0,6274.0,17596.0,10719.0,19808.0,46226.0,13665.0,9770.0
44,SZ2,29093.0,10172.0,7044.0,11463.0,7081.0,13989.0,24836.0,13485.0,16939.0,11327.0,20263.0,19874.0,22677.0,10737.0,28363.0,565.0,10324.0,10707.0,16949.0,11018.0,26138.0,14841.0,15543.0,21658.0,22073.0,36530.0,13361.0,6126.0,5025.0,16347.0,16385.0,18559.0,44977.0,12416.0,13024.0
45,HOLLAND DRIVE,6288.0,11965.0,17663.0,12835.0,14893.0,25507.0,10085.0,12150.0,9933.0,14274.0,13524.0,22501.0,2276.0,29232.0,13611.0,20294.0,26809.0,29929.0,22601.0,27731.0,11387.0,21162.0,19452.0,3312.0,23912.0,13616.0,8323.0,16843.0,20582.0,8691.0,25664.0,17276.0,28737.0,16777.0,13620.0
46,GHIM MOH,5195.0,13228.0,18926.0,14097.0,16156.0,25512.0,7911.0,13413.0,9938.0,15536.0,14786.0,29359.0,941.0,29237.0,16706.0,21557.0,28549.0,29934.0,22606.0,30280.0,8437.0,22425.0,19457.0,1876.0,23917.0,13621.0,12683.0,18106.0,21845.0,11430.0,25669.0,20157.0,28742.0,13734.0,16048.0
47,KAMPONG UBI,22641.0,6455.0,9904.0,16121.0,4000.0,13009.0,26037.0,10032.0,10896.0,17560.0,16810.0,20383.0,16064.0,10694.0,29563.0,12885.0,10214.0,11286.0,14493.0,11136.0,27339.0,19044.0,5217.0,22858.0,25849.0,31936.0,6894.0,9084.0,13173.0,8719.0,12094.0,5953.0,46177.0,5371.0,7974.0
48,SINGAPORE POLYTECHNIC,3139.0,14042.0,19740.0,14911.0,19981.0,26247.0,8319.0,22548.0,10673.0,16350.0,15600.0,27303.0,1244.0,29972.0,14650.0,25382.0,29284.0,30669.0,23340.0,31015.0,8845.0,29302.0,20192.0,4118.0,21861.0,11564.0,13418.0,18920.0,25670.0,12164.0,26404.0,20892.0,26686.0,14469.0,17696.0
49,COMMONWEALTH,7435.0,12770.0,16804.0,12430.0,18038.0,24304.0,9397.0,20605.0,8730.0,11698.0,12673.0,30320.0,4319.0,28029.0,17667.0,23439.0,27341.0,28725.0,21397.0,29072.0,9923.0,17458.0,18248.0,4939.0,24878.0,14581.0,11475.0,17648.0,23727.0,10221.0,24461.0,18948.0,29703.0,12526.0,12375.0
50,MEI CHIN,8876.0,15545.0,19906.0,14569.0,16913.0,23179.0,12614.0,19481.0,7606.0,13838.0,14813.0,29833.0,5597.0,26904.0,18945.0,22314.0,26216.0,27601.0,20273.0,27947.0,13140.0,28494.0,17124.0,6108.0,26156.0,15859.0,9666.0,19086.0,22602.0,9097.0,23336.0,17824.0,30981.0,11915.0,24437.0
