,SUBZONE_N,141,149,79,105,115,142,148,33,106,77,15,151,103,116,56,129,52,71,4,23,48,67,157,78
87,MARYMOUNT,14144.0,10735.0,5867.0,11021.0,6178.0,18554.0,22942.0,13444.0,15629.0,9661.0,6381.0,14124.0,3123.0,8749.0,9530.0,3457.0,10679.0,14543.0,12668.0,15476.0,5813.0,18026.0,13089.0,16052.0
88,MARYMOUNT,12314.0,12323.0,7455.0,14597.0,7766.0,19933.0,26518.0,11614.0,19204.0,7831.0,7969.0,11397.0,4248.0,10337.0,13105.0,1488.0,8849.0,18119.0,16244.0,14721.0,7401.0,16197.0,15240.0,14223.0
89,BOON TECK,10342.0,9848.0,4980.0,20552.0,5291.0,17080.0,32473.0,12644.0,12081.0,8860.0,5494.0,8921.0,5402.0,7862.0,11086.0,3155.0,13358.0,24074.0,14627.0,16379.0,4926.0,23912.0,12765.0,8956.0
90,PEI CHUN,9529.0,11376.0,6508.0,15334.0,6819.0,17492.0,34001.0,11470.0,11744.0,7686.0,7022.0,8584.0,5144.0,9390.0,12653.0,2894.0,6254.0,35551.0,16154.0,16117.0,6454.0,12658.0,14293.0,8012.0
91,KALLANG,12211.0,11486.0,6618.0,18147.0,9183.0,20046.0,25165.0,11204.0,13260.0,7420.0,9387.0,10101.0,4920.0,9500.0,12807.0,2727.0,6661.0,35661.0,15881.0,16227.0,6564.0,11957.0,14403.0,9826.0
92,TYERSALL,14081.0,11253.0,3831.0,6957.0,3298.0,26574.0,18878.0,18943.0,11564.0,15160.0,3073.0,11475.0,8741.0,6168.0,5678.0,8957.0,16179.0,10479.0,10019.0,22227.0,3815.0,23526.0,9025.0,8433.0
93,WOODLANDS WEST,36904.0,29245.0,26124.0,18799.0,26435.0,32234.0,23684.0,19956.0,29748.0,26587.0,26638.0,30065.0,15605.0,29006.0,25308.0,20166.0,27605.0,15275.0,12519.0,6998.0,26070.0,28351.0,27017.0,30100.0
94,FRANKEL,3179.0,11566.0,12299.0,22270.0,12610.0,10625.0,34191.0,18098.0,15067.0,12163.0,12813.0,13467.0,16440.0,9619.0,18057.0,11251.0,3645.0,25792.0,22101.0,31389.0,12245.0,9712.0,14483.0,9361.0
95,UPPER THOMSON,16284.0,17457.0,9579.0,15273.0,9270.0,20982.0,25082.0,15584.0,17769.0,11801.0,9474.0,10633.0,804.0,9333.0,11208.0,3170.0,12819.0,16683.0,14808.0,12567.0,9563.0,20166.0,15229.0,18192.0
96,BISHAN EAST,11651.0,11790.0,6922.0,13934.0,7233.0,22150.0,25855.0,10951.0,18541.0,7168.0,7436.0,10864.0,4554.0,9804.0,12442.0,711.0,8186.0,17456.0,15581.0,14188.0,6868.0,15534.0,14707.0,13560.0
97,BUKIT BATOK EAST,22214.0,17546.0,13629.0,4952.0,13096.0,37861.0,11985.0,25903.0,14388.0,22119.0,12871.0,18149.0,13202.0,20014.0,12067.0,31860.0,25471.0,3576.0,2569.0,18692.0,13613.0,36025.0,15318.0,15107.0
