,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
52,MARGARET DRIVE,15595.0,28426.0,15777.0,15730.0,26729.0,15210.0,15817.0,6482.0,13944.0,11060.0,27334.0,6444.0,20199.0,20224.0,16978.0,17241.0,19470.0,3515.0,1148.0
53,BENCOOLEN,7239.0,18687.0,7421.0,6673.0,22766.0,9166.0,24264.0,3223.0,6258.0,4355.0,26738.0,14891.0,10461.0,10486.0,9188.0,9451.0,11114.0,6592.0,9843.0
54,FARRER PARK,7304.0,18370.0,6305.0,5675.0,22449.0,9267.0,23426.0,3963.0,5719.0,3815.0,26421.0,14052.0,10144.0,10169.0,8818.0,9081.0,11711.0,6274.0,9005.0
55,SIMEI,8474.0,35060.0,8656.0,22364.0,39139.0,27509.0,37267.0,17504.0,11408.0,12757.0,43110.0,27893.0,26834.0,26859.0,16539.0,13166.0,6283.0,24480.0,22846.0
56,TAMPINES EAST,10400.0,21075.0,10582.0,13908.0,41065.0,24718.0,39193.0,18452.0,10658.0,12462.0,29132.0,29820.0,28760.0,28785.0,16399.0,12204.0,8209.0,24339.0,24773.0
57,TAMPINES WEST,6645.0,25401.0,7840.0,12167.0,29480.0,22070.0,39720.0,15804.0,8010.0,9814.0,30754.0,30347.0,15818.0,17200.0,13751.0,9556.0,4539.0,21691.0,25300.0
58,YISHUN SOUTH,25616.0,1735.0,17747.0,11667.0,7646.0,8259.0,30816.0,23634.0,16765.0,17561.0,11618.0,31326.0,8107.0,8132.0,12818.0,14562.0,29491.0,17599.0,26279.0
59,NORTHLAND,27609.0,2593.0,19741.0,13661.0,6868.0,12295.0,30038.0,22910.0,18759.0,23512.0,10840.0,27700.0,10100.0,10125.0,14811.0,16309.0,31484.0,19593.0,28253.0
60,YISHUN CENTRAL,26941.0,1088.0,19073.0,12993.0,6200.0,10812.0,29370.0,22242.0,18091.0,18417.0,10172.0,27032.0,9432.0,9457.0,14143.0,15425.0,30816.0,18925.0,27585.0
61,YISHUN WEST,27140.0,4864.0,19272.0,13192.0,6399.0,10306.0,29569.0,22441.0,18290.0,23043.0,12491.0,27231.0,9631.0,9656.0,14342.0,16299.0,31015.0,19124.0,27784.0
62,YISHUN EAST,28602.0,846.0,20734.0,14654.0,7861.0,13065.0,31031.0,23903.0,19752.0,20653.0,11833.0,28693.0,11093.0,11118.0,14212.0,17660.0,32477.0,20586.0,29246.0
63,KHATIB,25464.0,2684.0,17595.0,11515.0,7494.0,8630.0,30664.0,20765.0,16613.0,21367.0,11466.0,28326.0,7955.0,7980.0,12666.0,14714.0,29339.0,17447.0,26108.0
64,HOUGANG CENTRAL,7105.0,15216.0,8113.0,7409.0,22716.0,7917.0,32696.0,13233.0,8801.0,7677.0,25876.0,23322.0,6207.0,6599.0,5758.0,5935.0,12018.0,14927.0,18275.0
65,SHANGRI-LA,23825.0,10874.0,12765.0,6455.0,14954.0,204.0,32405.0,15338.0,15481.0,8764.0,13219.0,23031.0,3227.0,4530.0,5595.0,7823.0,27700.0,11055.0,17984.0
66,SUNGEI SERANGOON WEST,14512.0,13843.0,13483.0,12423.0,19798.0,14123.0,36395.0,16932.0,12500.0,11376.0,21210.0,27021.0,8821.0,8157.0,8270.0,7316.0,18387.0,18626.0,21974.0
67,MIDVIEW,29917.0,9490.0,26441.0,20361.0,1169.0,11786.0,22493.0,30915.0,25459.0,30213.0,3054.0,20155.0,16801.0,16826.0,21512.0,23010.0,38185.0,21011.0,25830.0
68,BUKIT HO SWEE,13254.0,26085.0,13436.0,13389.0,29671.0,18533.0,18760.0,4142.0,11603.0,7354.0,30276.0,9386.0,17858.0,17883.0,14637.0,14900.0,17129.0,5916.0,4563.0
69,SERANGOON GARDEN,9628.0,14938.0,7984.0,4938.0,19281.0,5825.0,28258.0,12028.0,7395.0,6117.0,23252.0,18884.0,1987.0,2512.0,76.0,5058.0,13449.0,13521.0,17070.0
70,SERANGOON CENTRAL,7021.0,16215.0,6610.0,3684.0,19542.0,9626.0,26490.0,10130.0,4643.0,4045.0,23514.0,17116.0,8657.0,9733.0,3636.0,3014.0,11514.0,11753.0,15172.0
71,PANG SUA,36268.0,23273.0,36450.0,34145.0,16473.0,18739.0,18733.0,27155.0,32117.0,30214.0,8595.0,16395.0,30585.0,30610.0,35296.0,28353.0,40143.0,15688.0,22070.0
72,PANG SUA,32667.0,16792.0,32849.0,27664.0,9992.0,19278.0,15132.0,23554.0,31016.0,27967.0,10597.0,12794.0,24103.0,24128.0,28814.0,30312.0,36542.0,13456.0,18469.0
73,VICTORIA,7013.0,20329.0,7195.0,6831.0,24408.0,9848.0,24038.0,4275.0,6218.0,4315.0,28380.0,14665.0,12103.0,12128.0,14509.0,10701.0,10888.0,7135.0,9617.0
74,TELOK BLANGAH WAY,13933.0,25531.0,14115.0,12836.0,29610.0,17676.0,19439.0,4156.0,12104.0,10200.0,30955.0,10065.0,17305.0,17330.0,15134.0,15397.0,17808.0,7048.0,4702.0
75,DEPOT ROAD,15420.0,24430.0,15602.0,17802.0,29383.0,15040.0,18472.0,7888.0,14328.0,12606.0,29988.0,9990.0,16204.0,16229.0,16133.0,19123.0,19295.0,5343.0,3308.0
76,PAYA LEBAR,4713.0,17829.0,3748.0,5041.0,21908.0,9556.0,28856.0,9296.0,1973.0,3306.0,25880.0,19482.0,7393.0,7922.0,4700.0,3801.0,8652.0,14118.0,16853.0
77,TIONG BAHRU,13006.0,25837.0,13188.0,13141.0,29423.0,13869.0,18512.0,3894.0,11355.0,8283.0,30028.0,9138.0,17610.0,17635.0,14389.0,14652.0,16881.0,7051.0,4091.0
78,KAMPONG TIONG BAHRU,13493.0,26324.0,13675.0,13628.0,29910.0,15414.0,18999.0,4381.0,11842.0,8085.0,30515.0,9625.0,18097.0,18122.0,13590.0,13944.0,17368.0,6567.0,4060.0
79,DOVER,19936.0,30507.0,20118.0,11946.0,23707.0,17312.0,12795.0,10823.0,19258.0,17632.0,24312.0,3957.0,18378.0,18250.0,17444.0,17298.0,23811.0,5124.0,5429.0
80,WOODGROVE,28403.0,11007.0,27959.0,21878.0,4207.0,12820.0,20959.0,29381.0,26977.0,24939.0,4006.0,18621.0,18318.0,18343.0,23029.0,24527.0,42369.0,19377.0,24296.0
81,SEMBAWANG CENTRAL,29848.0,5028.0,21979.0,15899.0,2966.0,13014.0,26136.0,25149.0,20997.0,25751.0,6938.0,23798.0,12339.0,12364.0,17050.0,18548.0,33723.0,21831.0,29473.0
82,SEMBAWANG NORTH,30675.0,5855.0,22806.0,16726.0,3793.0,13841.0,26963.0,25976.0,21824.0,26578.0,9420.0,24625.0,13166.0,13191.0,17877.0,19375.0,34550.0,22658.0,30300.0
83,BRADDELL,15304.0,13079.0,15486.0,744.0,17158.0,5528.0,30368.0,10605.0,8798.0,11207.0,21129.0,20995.0,4853.0,4878.0,4973.0,11062.0,19179.0,7064.0,15948.0
84,POTONG PASIR,6218.0,24423.0,5781.0,2003.0,28502.0,11441.0,27017.0,7554.0,3667.0,1907.0,32474.0,17643.0,10688.0,16222.0,5373.0,5636.0,13668.0,13496.0,12596.0
85,KIM KEAT,6792.0,15354.0,6355.0,1081.0,19433.0,9123.0,30854.0,8790.0,4241.0,2481.0,26029.0,14920.0,7128.0,7153.0,6787.0,7167.0,14242.0,8326.0,11244.0
86,TOA PAYOH CENTRAL,8920.0,14439.0,8483.0,1622.0,18518.0,6865.0,29939.0,10176.0,6369.0,4755.0,22490.0,20566.0,6213.0,6238.0,7290.0,9295.0,18750.0,6583.0,15519.0
87,MARYMOUNT,12395.0,13678.0,11366.0,2219.0,17757.0,6074.0,20550.0,11204.0,10383.0,12154.0,17608.0,11176.0,5452.0,5477.0,8569.0,8423.0,16270.0,5813.0,10700.0
88,MARYMOUNT,10565.0,12922.0,9536.0,5169.0,17001.0,2464.0,24126.0,12792.0,8554.0,8137.0,20973.0,14752.0,3831.0,3703.0,6739.0,7461.0,14440.0,9388.0,18135.0
89,BOON TECK,8449.0,14580.0,9763.0,143.0,18659.0,6318.0,30080.0,10317.0,8260.0,3863.0,22631.0,20707.0,6354.0,6379.0,5691.0,7943.0,18891.0,7300.0,10816.0
90,PEI CHUN,7361.0,14319.0,6924.0,963.0,18398.0,6059.0,31608.0,8998.0,4810.0,3050.0,22369.0,15489.0,6093.0,6118.0,4522.0,7736.0,14811.0,8867.0,12383.0
91,KALLANG,7999.0,14429.0,9177.0,1073.0,18508.0,5395.0,22773.0,10515.0,6390.0,4824.0,22479.0,18302.0,5022.0,6849.0,3821.0,6074.0,12776.0,7848.0,11366.0
92,TYERSALL,15686.0,20428.0,16866.0,8570.0,24507.0,11692.0,16486.0,11722.0,15883.0,17244.0,23226.0,7112.0,12202.0,12227.0,14068.0,13922.0,21770.0,1667.0,5409.0
